"signature","sample","condition","compartment","n_cells","weighted_z","abs_weight","signature_score","n_genes_present"
"Core_CAF_interaction_positive_top200","P76T","Tumor","Epithelial",1569,182.886605380789,502.278013993144,0.364114295839524,194
"Core_CAF_interaction_positive_top200","P76T","Tumor","Fibroblast",368,248.003719558049,502.278013993144,0.493757864467136,194
"Core_CAF_interaction_positive_top200","P76T","Tumor","Myeloid",261,-150.214184640768,466.563530148686,-0.321958693584338,180
"Core_CAF_interaction_positive_top200","P76T","Tumor","Tcell",865,-136.607719926361,466.563530148686,-0.292795538225687,180
"Core_CAF_interaction_positive_top200","P79T","Tumor","Epithelial",1017,164.48662257474,502.278013993144,0.32748123149381,194
"Core_CAF_interaction_positive_top200","P79T","Tumor","Fibroblast",507,294.307342010667,502.278013993144,0.58594510173938,194
"Core_CAF_interaction_positive_top200","P79T","Tumor","Myeloid",236,-200.980777877322,466.563530148686,-0.430768298184971,180
"Core_CAF_interaction_positive_top200","P79T","Tumor","Tcell",745,-145.929812825561,466.563530148686,-0.312775867370207,180
"Core_CAF_interaction_positive_top200","P80T","Tumor","Epithelial",285,118.771816013384,502.278013993144,0.236466285014428,194
"Core_CAF_interaction_positive_top200","P80T","Tumor","Fibroblast",40,185.365950089725,502.278013993144,0.369050495792267,194
"Core_CAF_interaction_positive_top200","P80T","Tumor","Myeloid",65,-97.4604805674779,466.563530148686,-0.208890053057552,180
"Core_CAF_interaction_positive_top200","P80T","Tumor","Tcell",1548,-112.466087364929,466.563530148686,-0.241052032783376,180
"Core_CAF_interaction_positive_top200","P82T","Tumor","Epithelial",111,282.125343884119,502.278013993144,0.561691605095757,194
"Core_CAF_interaction_positive_top200","P82T","Tumor","Fibroblast",21,250.61228055626,502.278013993144,0.498951324912422,194
"Core_CAF_interaction_positive_top200","P82T","Tumor","Myeloid",273,-199.16669324947,466.563530148686,-0.426880114667339,180
"Core_CAF_interaction_positive_top200","P82T","Tumor","Tcell",454,-131.809570649589,466.563530148686,-0.282511516936576,180
"Core_CAF_interaction_positive_top200","P83T","Tumor","Epithelial",460,298.109768476477,502.278013993144,0.593515463889179,194
"Core_CAF_interaction_positive_top200","P83T","Tumor","Fibroblast",176,265.491456760464,502.278013993144,0.528574712338669,194
"Core_CAF_interaction_positive_top200","P83T","Tumor","Myeloid",887,-217.933505563914,466.563530148686,-0.467103602149233,180
"Core_CAF_interaction_positive_top200","P83T","Tumor","Tcell",1045,-120.37348713066,466.563530148686,-0.258000206514853,180
"Core_CAF_interaction_positive_top200","P84T","Tumor","Epithelial",229,35.4875652199065,502.278013993144,0.0706532323359686,194
"Core_CAF_interaction_positive_top200","P84T","Tumor","Fibroblast",611,221.500850999759,502.278013993144,0.440992527701565,194
"Core_CAF_interaction_positive_top200","P84T","Tumor","Myeloid",173,-185.049389002813,466.563530148686,-0.396622061188197,180
"Core_CAF_interaction_positive_top200","P84T","Tumor","Tcell",667,-191.291964251084,466.563530148686,-0.410001965198872,180
"Core_CAF_interaction_positive_top200","P87T","Tumor","Epithelial",8,120.626081280502,502.278013993144,0.240157996010051,194
