"sample_label","stage","feature","value","source_type","rank"
"sample 9","HGIN","CD68_macrophage_IF",71.03675,"IF quantification",2
"sample 9","ESCC","CD68_macrophage_IF",144.855,"IF quantification",3
"sample 10","NE","alpha_SMA_fibroblast_IF",10.4546666666667,"IF quantification",0
"sample 10","LGIN","alpha_SMA_fibroblast_IF",19.6886666666667,"IF quantification",1
"sample 10","HGIN","alpha_SMA_fibroblast_IF",14.5303333333333,"IF quantification",2
"sample 10","ESCC","alpha_SMA_fibroblast_IF",17.727,"IF quantification",3
"sample 10","NE","CD68_macrophage_IF",49.0416666666667,"IF quantification",0
"sample 10","LGIN","CD68_macrophage_IF",51.2936666666667,"IF quantification",1
"sample 10","HGIN","CD68_macrophage_IF",170.129333333333,"IF quantification",2
"sample 10","ESCC","CD68_macrophage_IF",74.205,"IF quantification",3
"average","NE","alpha_SMA_fibroblast_IF",13.6813166666667,"IF quantification",0
"average","LGIN","alpha_SMA_fibroblast_IF",19.09182,"IF quantification",1
"average","HGIN","alpha_SMA_fibroblast_IF",22.0468416666667,"IF quantification",2
"average","ESCC","alpha_SMA_fibroblast_IF",29.3201,"IF quantification",3
"average","NE","CD68_macrophage_IF",58.7611,"IF quantification",0
"average","LGIN","CD68_macrophage_IF",60.87434,"IF quantification",1
"average","HGIN","CD68_macrophage_IF",91.2424083333333,"IF quantification",2
"average","ESCC","CD68_macrophage_IF",108.3705,"IF quantification",3
"sd","NE","alpha_SMA_fibroblast_IF",3.72404226021459,"IF quantification",0
"sd","LGIN","alpha_SMA_fibroblast_IF",5.88164387446021,"IF quantification",1
"sd","HGIN","alpha_SMA_fibroblast_IF",4.44067041263561,"IF quantification",2
"sd","ESCC","alpha_SMA_fibroblast_IF",9.41269713914843,"IF quantification",3
"sd","NE","CD68_macrophage_IF",17.4854931074623,"IF quantification",0
"sd","LGIN","CD68_macrophage_IF",27.1375514253708,"IF quantification",1
"sd","HGIN","CD68_macrophage_IF",42.7900952201711,"IF quantification",2
"sd","ESCC","CD68_macrophage_IF",32.4023644036118,"IF quantification",3
"MIPCC-DSP-20210914C-01_5","NE","ROI_KRT16",5.26730060276863,"ROI marker expression",0
"MIPCC-DSP-20210914C-01_5","NE","ROI_KRT17",3.75537618275471,"ROI marker expression",0
"MIPCC-DSP-20210914C-01_5","NE","ROI_MAL",3.75537618275471,"ROI marker expression",0
"MIPCC-DSP-20210914C-01_5","NE","ROI_TAGLN2",6.46812735557096,"ROI marker expression",0
"MIPCC-DSP-20210914C-01_5","NE","ROI_CRNN",3.75537618275471,"ROI marker expression",0
"MIPCC-DSP-20210914C-01_9","NE","ROI_KRT16",8.07904055758817,"ROI marker expression",0
"MIPCC-DSP-20210914C-01_9","NE","ROI_KRT17",5.7047357042464,"ROI marker expression",0
"MIPCC-DSP-20210914C-01_9","NE","ROI_MAL",8.61490165001649,"ROI marker expression",0
"MIPCC-DSP-20210914C-01_9","NE","ROI_TAGLN2",8.04218491697654,"ROI marker expression",0
"MIPCC-DSP-20210914C-01_9","NE","ROI_CRNN",9.82135886801612,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_1","NE","ROI_KRT16",5.38459497989631,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_1","NE","ROI_KRT17",4.76003468407973,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_1","NE","ROI_MAL",8.51064545873176,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_1","NE","ROI_TAGLN2",5.54438886178755,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_1","NE","ROI_CRNN",10.2918982744542,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_4","NE","ROI_KRT16",5.83972233898901,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_4","NE","ROI_KRT17",4.30428179828078,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_4","NE","ROI_MAL",8.40353823261086,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_4","NE","ROI_TAGLN2",5.26730060276863,"ROI marker expression",0
"MIPCC-DSP-20210914C-02_4","NE","ROI_CRNN",7.82070439547284,"ROI marker expression",0
